CRASH_RECORD_ID,CRASH_DATE_EST_I,CRASH_DATE,POSTED_SPEED_LIMIT,TRAFFIC_CONTROL_DEVICE,DEVICE_CONDITION,WEATHER_CONDITION,LIGHTING_CONDITION,FIRST_CRASH_TYPE,TRAFFICWAY_TYPE,LANE_CNT,ALIGNMENT,ROADWAY_SURFACE_COND,ROAD_DEFECT,REPORT_TYPE,CRASH_TYPE,INTERSECTION_RELATED_I,NOT_RIGHT_OF_WAY_I,HIT_AND_RUN_I,DAMAGE,DATE_POLICE_NOTIFIED,PRIM_CONTRIBUTORY_CAUSE,SEC_CONTRIBUTORY_CAUSE,STREET_NO,STREET_DIRECTION,STREET_NAME,BEAT_OF_OCCURRENCE,PHOTOS_TAKEN_I,STATEMENTS_TAKEN_I,DOORING_I,WORK_ZONE_I,WORK_ZONE_TYPE,WORKERS_PRESENT_I,NUM_UNITS,MOST_SEVERE_INJURY,INJURIES_TOTAL,INJURIES_FATAL,INJURIES_INCAPACITATING,INJURIES_NON_INCAPACITATING,INJURIES_REPORTED_NOT_EVIDENT,INJURIES_NO_INDICATION,INJURIES_UNKNOWN,CRASH_HOUR,CRASH_DAY_OF_WEEK,CRASH_MONTH,LATITUDE,LONGITUDE,LOCATION,timestamp
a01f2b6ed0bc217e3fd1ed18594c604d0c4e6aa15ce071651a8e817d491bb38939aee03dd27c5d1ce030c530eb05be1056fc64e29d08635ec249eb994a7f06e8,,01/11/2025 11:47:00 PM,40,TRAFFIC SIGNAL,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,DIVIDED - W/MEDIAN BARRIER,,STRAIGHT AND LEVEL,ICE,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",01/11/2025 11:48:00 PM,WEATHER,NOT APPLICABLE,301,S,LAKE SHORE DR NB,114.0,,,,,,,1,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23,7,1,41.878317011,-87.617052125,POINT (-87.617052125371 41.878317010667),2025-01-11 23:47:00
d31dc080e84305ddec2decc28c1eb74445bf6b3871ef78a1f4c3883c56b9393a5374ac6b30f3400143ac158bc50d915f9262ca4e8bfc7b5bb39847ed229b1b3b,,01/11/2025 11:45:00 PM,30,NO CONTROLS,NO CONTROLS,CLEAR,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,ON SCENE,NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/11/2025 11:55:00 PM,IMPROPER TURNING/NO SIGNAL,NOT APPLICABLE,2265,N,LINCOLN AVE,1812.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23,7,1,41.923405157,-87.645696645,POINT (-87.64569664482 41.923405156805),2025-01-11 23:45:00
066f40765402cc34cfb50c002cad3ee02cc7accc3051c32344a8cf436a33dbdd5d7458d97263e848fe2b814317a9550d633b2ee7738b96751f33cf7a020c9155,,01/11/2025 11:40:00 PM,30,UNKNOWN,UNKNOWN,UNKNOWN,UNKNOWN,SIDESWIPE OPPOSITE DIRECTION,UNKNOWN,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,,"OVER $1,500",01/14/2025 07:35:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,727,W,LAKE ST,1224.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,7,1,41.885564701,-87.646855083,POINT (-87.646855083245 41.885564700956),2025-01-11 23:40:00
ab2848f6d77314111e5aa2c1813e51c931e63337dc3a2c8a01772ec62a8e5c644ce9a8ccf88833fb6cce68b0f7874cb55cb995743b844c2a17ca67360e6c5de1,,01/11/2025 11:35:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,SNOW,"DARKNESS, LIGHTED ROAD",ANGLE,NOT DIVIDED,,STRAIGHT AND LEVEL,SNOW OR SLUSH,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,Y,,,"OVER $1,500",01/11/2025 11:37:00 PM,UNDER THE INFLUENCE OF ALCOHOL/DRUGS (USE WHEN ARREST IS EFFECTED),DISREGARDING TRAFFIC SIGNALS,1331,W,DIVISION ST,1213.0,,,,,,,2,INCAPACITATING INJURY,2.0,0.0,1.0,1.0,0.0,0.0,0.0,23,7,1,41.903318889,-87.661778784,POINT (-87.661778784139 41.903318889121),2025-01-11 23:35:00
ab9d49589d85ecb4c2b485fd9a41f0243d57c6560b4b51dd1c27adf28a43ed96524927b05622e073587478364ba691c434be0c4a901887c929b19334ff5bbcbd,,01/11/2025 11:30:00 PM,30,NO CONTROLS,NO CONTROLS,UNKNOWN,UNKNOWN,PARKED MOTOR VEHICLE,ONE-WAY,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,N,,,"OVER $1,500",01/12/2025 08:35:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4520,N,AVERS AVE,1723.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23,7,1,41.963478642,-87.724376786,POINT (-87.724376786258 41.963478641888),2025-01-11 23:30:00
d646f6f910d91ff76224d7d5a8aa809066e5af4b94058ee7d443c300ab05b196065f592609c8bb0bf60974b7ceddd3b7d32ceb6be0c1e91927b4000f2103f4ee,Y,01/11/2025 11:30:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,CLEAR,"DARKNESS, LIGHTED ROAD",REAR END,FOUR WAY,,STRAIGHT AND LEVEL,DRY,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,N,,,"OVER $1,500",01/11/2025 11:45:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4800,W,63RD ST,813.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,2.0,0.0,23,7,1,41.778538071,-87.742355878,POINT (-87.74235587842 41.778538071066),2025-01-11 23:30:00
3953e00dcff923d1c89d31bc7f4b3ced7e08e3023c9a6500f2ee41090f7d98eb23c35d534023abb3df90fee24e77406570d49d4170d0222121d4219dfb4d9506,Y,01/11/2025 11:20:00 PM,30,NO CONTROLS,NO CONTROLS,UNKNOWN,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,NOT DIVIDED,,STRAIGHT AND LEVEL,UNKNOWN,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,,,Y,"OVER $1,500",01/12/2025 01:25:00 AM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,4914,N,MILWAUKEE AVE,1623.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23,7,1,41.970011678,-87.762796186,POINT (-87.762796185885 41.970011678252),2025-01-11 23:20:00
b24f653a3d0dfbe5aaa9c548c0dfeab4205f33f862c50b78332ecad6d3bb3c4623ea4f331096a1e22c36d5099c3b865b8f3709943d7c029ecbe5c11266d705b3,,01/11/2025 11:20:00 PM,30,TRAFFIC SIGNAL,FUNCTIONING PROPERLY,RAIN,DARKNESS,REAR END,FOUR WAY,,STRAIGHT AND LEVEL,WET,NO DEFECTS,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,,,"OVER $1,500",01/12/2025 02:50:00 PM,UNABLE TO DETERMINE,UNABLE TO DETERMINE,1159,N,LONG AVE,1524.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,4.0,0.0,23,7,1,41.902182809,-87.760778183,POINT (-87.760778183044 41.902182808672),2025-01-11 23:20:00
29ea808f374953b2ab86d07d27c6467bd2f1a3a8b484b57f2b14f58b895b15a6d8d766a03678d5bfe1e6ec773178733b7dd196a7f3f4a341b384565f77a886e2,,01/11/2025 11:12:00 PM,10,NO CONTROLS,NO CONTROLS,SNOW,"DARKNESS, LIGHTED ROAD",PARKED MOTOR VEHICLE,PARKING LOT,,STRAIGHT AND LEVEL,WET,NO DEFECTS,ON SCENE,INJURY AND / OR TOW DUE TO CRASH,,,,"OVER $1,500",01/11/2025 11:12:00 PM,UNABLE TO DETERMINE,NOT APPLICABLE,3620,S,RHODES AVE,212.0,,,,,,,2,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23,7,1,41.828641292,-87.614579591,POINT (-87.614579590725 41.828641292309),2025-01-11 23:12:00
cfd90b30b307e972aaa9e9099bc127669ced5426149746cb314deccfd928b15731bd7267f24f9596572b9cae6a4c5a4ed8d82b612e8fa6540ec02abc7db325cf,,01/11/2025 11:02:00 PM,25,STOP SIGN/FLASHER,NO CONTROLS,SNOW,"DARKNESS, LIGHTED ROAD",FIXED OBJECT,FOUR WAY,,STRAIGHT AND LEVEL,SNOW OR SLUSH,UNKNOWN,NOT ON SCENE (DESK REPORT),NO INJURY / DRIVE AWAY,Y,Y,,"$501 - $1,500",01/11/2025 11:02:00 PM,NOT APPLICABLE,NOT APPLICABLE,3010,W,26TH ST,1033.0,,,,,,,1,NO INDICATION OF INJURY,0.0,0.0,0.0,0.0,0.0,1.0,0.0,23,7,1,41.844705474,-87.700667229,POINT (-87.700667228789 41.844705473782),2025-01-11 23:02:00
